zip,projects,buyout,input,local,partnership,stormRepair,subdivision, localsum , grantsum , totalsum , partnersum , matchsum 
77031,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77032,41,3,6,7,19,3,3," $212,900,000 "," $1,133,780,000 "," $1,346,680,000 "," $879,845,000 "," $253,935,000 "
77033,22,1,6,6,6,2,1," $105,450,000 "," $368,325,000 "," $473,775,000 "," $226,477,500 "," $141,847,500 "
77034,26,2,5,9,6,3,1," $70,250,000 "," $187,750,000 "," $258,000,000 "," $120,917,500 "," $66,832,500 "
77035,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77036,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77037,44,3,7,3,25,3,3," $73,000,000 "," $1,274,315,000 "," $1,347,315,000 "," $991,277,500 "," $283,037,500 "
77038,16,1,5,2,6,1,1," $65,000,000 "," $490,550,000 "," $555,550,000 "," $375,332,500 "," $115,217,500 "
77039,28,2,2,1,19,2,2," $8,000,000 "," $783,765,000 "," $791,765,000 "," $615,945,000 "," $167,820,000 "
77040,16,1,5,2,6,1,1," $65,000,000 "," $490,550,000 "," $555,550,000 "," $375,332,500 "," $115,217,500 "
77041,46,1,11,15,14,3,2," $279,700,000 "," $806,845,000 "," $1,086,545,000 "," $620,180,000 "," $186,665,000 "
77042,23,1,9,8,3,2,0," $152,150,000 "," $260,725,000 "," $412,875,000 "," $153,600,000 "," $107,125,000 "
77043,29,1,11,8,6,2,1," $153,700,000 "," $528,525,000 "," $682,225,000 "," $396,712,500 "," $131,812,500 "
77044,44,4,6,5,21,4,4," $58,000,000 "," $1,108,165,000 "," $1,166,165,000 "," $859,255,000 "," $248,910,000 "
77045,12,0,3,4,3,1,1," $42,000,000 "," $145,575,000 "," $187,575,000 "," $94,257,500 "," $51,317,500 "
77046,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77047,27,1,9,8,5,2,2," $94,000,000 "," $434,210,000 "," $528,210,000 "," $290,430,000 "," $143,780,000 "
77048,27,1,9,8,5,2,2," $94,000,000 "," $434,210,000 "," $528,210,000 "," $290,430,000 "," $143,780,000 "
77049,44,4,6,5,21,4,4," $58,000,000 "," $1,108,165,000 "," $1,166,165,000 "," $859,255,000 "," $248,910,000 "
77051,12,0,3,4,3,1,1," $42,000,000 "," $145,575,000 "," $187,575,000 "," $94,257,500 "," $51,317,500 "
77053,12,0,3,4,3,1,1," $42,000,000 "," $145,575,000 "," $187,575,000 "," $94,257,500 "," $51,317,500 "
77054,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77055,29,1,11,8,6,2,1," $153,700,000 "," $528,525,000 "," $682,225,000 "," $396,712,500 "," $131,812,500 "
77056,13,0,6,6,0,1,0," $88,700,000 "," $37,975,000 "," $126,675,000 "," $21,380,000 "," $16,595,000 "
77057,13,0,6,6,0,1,0," $88,700,000 "," $37,975,000 "," $126,675,000 "," $21,380,000 "," $16,595,000 "
77058,25,2,8,7,5,2,1," $64,750,000 "," $330,035,000 "," $394,785,000 "," $222,232,500 "," $107,802,500 "
77059,10,1,2,3,3,1,," $12,750,000 "," $41,400,000 "," $54,150,000 "," $26,060,000 "," $15,340,000 "
77061,12,0,3,4,3,1,1," $42,000,000 "," $145,575,000 "," $187,575,000 "," $94,257,500 "," $51,317,500 "
77062,25,2,8,7,5,2,1," $64,750,000 "," $330,035,000 "," $394,785,000 "," $222,232,500 "," $107,802,500 "
77063,13,0,6,6,0,1,0," $88,700,000 "," $37,975,000 "," $126,675,000 "," $21,380,000 "," $16,595,000 "
77064,16,1,5,2,6,1,1," $65,000,000 "," $490,550,000 "," $555,550,000 "," $375,332,500 "," $115,217,500 "
77065,16,1,5,2,6,1,1," $65,000,000 "," $490,550,000 "," $555,550,000 "," $375,332,500 "," $115,217,500 "
77068,13,1,4,6,0,1,1," $204,900,000 "," $350,015,000 "," $554,915,000 "," $263,900,000 "," $86,115,000 "
77069,13,1,4,6,0,1,1," $204,900,000 "," $350,015,000 "," $554,915,000 "," $263,900,000 "," $86,115,000 "
77070,29,2,9,8,6,2,2," $269,900,000 "," $840,565,000 "," $1,110,465,000 "," $639,232,500 "," $201,332,500 "
77071,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77072,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77073,41,3,6,7,19,3,3," $212,900,000 "," $1,133,780,000 "," $1,346,680,000 "," $879,845,000 "," $253,935,000 "
77074,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77075,27,1,9,8,5,2,2," $94,000,000 "," $434,210,000 "," $528,210,000 "," $290,430,000 "," $143,780,000 "
77076,44,3,7,3,25,3,3," $73,000,000 "," $1,274,315,000 "," $1,347,315,000 "," $991,277,500 "," $283,037,500 "
77077,23,1,9,8,3,2,0," $152,150,000 "," $260,725,000 "," $412,875,000 "," $153,600,000 "," $107,125,000 "
77078,28,2,2,1,19,2,2," $8,000,000 "," $783,765,000 "," $791,765,000 "," $615,945,000 "," $167,820,000 "
77079,13,0,6,6,0,1,0," $88,700,000 "," $37,975,000 "," $126,675,000 "," $21,380,000 "," $16,595,000 "
77080,29,1,11,8,6,2,1," $153,700,000 "," $528,525,000 "," $682,225,000 "," $396,712,500 "," $131,812,500 "
77081,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77082,23,1,9,8,3,2,0," $152,150,000 "," $260,725,000 "," $412,875,000 "," $153,600,000 "," $107,125,000 "
